"1/1/18",0
"1/2/18",0
"1/3/18",0
"1/4/18",0
"1/5/18",0
"1/6/18",0
"1/7/18",0
"1/8/18",0
"1/9/18",0
"1/10/18",0
"1/11/18",0
"1/12/18",0
"1/13/18",0
"1/14/18",0
"1/15/18",0
"1/16/18",0
"1/17/18",0
"1/18/18",0
"1/19/18",0
"1/20/18",0
"1/21/18",0
"1/22/18",0
"1/23/18",0
"1/24/18",0
"1/25/18",0
"1/26/18",0
"1/27/18",0
"1/28/18",0
"1/29/18",0
"1/30/18",0
"1/31/18",0
"2/1/18",0
"2/2/18",0
"2/3/18",0
"2/4/18",0
"2/5/18",0
"2/6/18",0
"2/7/18",0
"2/8/18",0
"2/9/18",0
"2/10/18",0
"2/11/18",0
"2/12/18",0
"2/13/18",0
"2/14/18",0
"2/15/18",0
"2/16/18",0
"2/17/18",0
"2/18/18",0
"2/19/18",0
"2/20/18",0
"2/21/18",0
"2/22/18",0
"2/23/18",0
"2/24/18",0
"2/25/18",0
"2/26/18",0
"2/27/18",0
"2/28/18",0
"3/1/18",0
"3/2/18",0
"3/3/18",0
"3/4/18",0
"3/5/18",0
"3/6/18",0
"3/7/18",0
"3/8/18",0
"3/9/18",0
"3/10/18",0
"3/11/18",0
"3/12/18",0
"3/13/18",0
"3/14/18",0
"3/15/18",0
"3/16/18",0
"3/17/18",0
"3/18/18",0
"3/19/18",0
"3/20/18",0
"3/21/18",0
"3/22/18",0
"3/23/18",0
"3/24/18",0
"3/25/18",0
"3/26/18",0
"3/27/18",0
"3/28/18",0
"3/29/18",0
"3/30/18",0
"3/31/18",0
"4/1/18",0
"4/2/18",0
"4/3/18",0
"4/4/18",0
"4/5/18",0
"4/6/18",0
"4/7/18",0
"4/8/18",0
"4/9/18",0
"4/10/18",0
"4/11/18",0
"4/12/18",0
"4/13/18",0
"4/14/18",0
"4/15/18",0
"4/16/18",0
"4/17/18",0
"4/18/18",0
"4/19/18",0
"4/20/18",0
"4/21/18",0
"4/22/18",0
"4/23/18",0
"4/24/18",0
"4/25/18",0
"4/26/18",0
"4/27/18",0
"4/28/18",0
"4/29/18",0
"4/30/18",0
"5/1/18",0
"5/2/18",0
"5/3/18",0
"5/4/18",0
"5/5/18",0
"5/6/18",0
"5/7/18",0
"5/8/18",0
"5/9/18",0
"5/10/18",0
"5/11/18",0
"5/12/18",0
"5/13/18",0
"5/14/18",0
"5/15/18",0
"5/16/18",0
"5/17/18",0
"5/18/18",0
"5/19/18",0
"5/20/18",0
"5/21/18",0
"5/22/18",0
"5/23/18",0
"5/24/18",0
"5/25/18",0
"5/26/18",0
"5/27/18",0
"5/28/18",0
"5/29/18",0
"5/30/18",0
"5/31/18",0
"6/1/18",0
"6/2/18",0
"6/3/18",0
"6/4/18",0
"6/5/18",0
"6/6/18",0
"6/7/18",0
"6/8/18",0
"6/9/18",0
"6/10/18",0
"6/11/18",0
"6/12/18",0
"6/13/18",0
"6/14/18",0
"6/15/18",0
"6/16/18",0
"6/17/18",0
"6/18/18",0
"6/19/18",0
"6/20/18",0
"6/21/18",0
"6/22/18",0
"6/23/18",0
"6/24/18",0
"6/25/18",0
"6/26/18",0
"6/27/18",0
"6/28/18",0
"6/29/18",0
"7/1/18",0
"7/2/18",0
"7/3/18",0
"7/4/18",0
"7/5/18",0
"7/6/18",0
"7/7/18",0
"7/8/18",0
"7/9/18",0
"7/10/18",0
"7/11/18",0
"7/12/18",0
"7/13/18",0
"7/14/18",0
"7/15/18",0
"7/16/18",0
"7/17/18",0
"7/18/18",0
"7/19/18",0
"7/20/18",0
"7/21/18",0
"7/22/18",0
"7/23/18",0
"7/24/18",0
"7/25/18",0
"7/26/18",0
"7/27/18",0
"7/28/18",0
"7/29/18",0
"7/30/18",0
"7/31/18",0
"8/1/18",0
"8/2/18",0
"8/3/18",0
"8/4/18",0
"8/5/18",0
"8/6/18",0
"8/7/18",0
"8/8/18",0
"8/9/18",0
"8/10/18",0
"8/11/18",0
"8/12/18",0
"8/13/18",0
"8/14/18",0
"8/15/18",0
"8/16/18",0
"8/17/18",0
"8/18/18",0
"8/19/18",0
"8/20/18",0
"8/21/18",0
"8/22/18",0
"8/23/18",0
"8/24/18",0
"8/25/18",0
"8/26/18",0
"8/27/18",0
"8/28/18",0
"8/29/18",0
"8/30/18",0
"8/31/18",0
"9/1/18",0
"9/2/18",0
"9/3/18",0
"9/4/18",0
"9/5/18",0
"9/6/18",0
"9/7/18",0
"9/8/18",0
"9/9/18",0
"9/10/18",0
"9/11/18",0
"9/12/18",0
"9/13/18",0
"9/14/18",0
"9/15/18",0
"9/16/18",0
"9/17/18",0
"9/18/18",0
"9/19/18",0
"9/20/18",0
"9/21/18",0
"9/22/18",0
"9/23/18",0
"9/24/18",0
"9/25/18",0
"9/26/18",0
"9/27/18",0
"9/28/18",0
"9/29/18",0
"9/30/18",0
"10/1/18",0
"10/2/18",0
"10/3/18",0
"10/4/18",0
"10/5/18",0
"10/6/18",0
"10/7/18",0
"10/8/18",0
"10/9/18",0
"10/10/18",0
"10/11/18",0
"10/12/18",0
"10/13/18",0
"10/14/18",0
"10/15/18",0
"10/16/18",0
"10/17/18",0
"10/18/18",0
"10/19/18",0
"10/20/18",0
"10/21/18",0
"10/22/18",0
"10/23/18",0
"10/24/18",0
"10/25/18",0
"10/26/18",0
"10/27/18",0
"10/28/18",0
"10/29/18",0
"10/30/18",0
"10/31/18",0
"11/1/18",0
"11/2/18",0
"11/3/18",0
"11/4/18",0
"11/5/18",0
"11/6/18",0
"11/7/18",0
"11/8/18",0
"11/9/18",0
"11/10/18",0
"11/11/18",0
"11/12/18",0
"11/13/18",0
"11/14/18",0
"11/15/18",0
"11/16/18",0
"11/17/18",0
"11/18/18",0
"11/19/18",0
"11/20/18",0
"11/21/18",0
"11/22/18",0
"11/23/18",0
"11/24/18",0
"11/25/18",0
"11/26/18",0
"11/27/18",0
"11/28/18",0
"11/29/18",0
"11/30/18",0
"11/31/18",0
"12/1/18",0
"12/2/18",0
"12/3/18",0
"12/4/18",0
"12/5/18",0
"12/6/18",0
"12/7/18",0
"12/8/18",0
"12/9/18",0
"12/10/18",0
"12/11/18",0
"12/12/18",0
"12/13/18",0
"12/14/18",0
"12/15/18",0
"12/16/18",0
"12/17/18",0
"12/18/18",0
"12/19/18",0
"12/20/18",0
"12/21/18",0
"12/22/18",0
"12/23/18",0
"12/24/18",0
"12/25/18",0
"12/26/18",0
"12/27/18",0
"12/28/18",0
"12/29/18",0
"12/30/18",0
"12/31/18",0
"1/1/19",0
"1/2/19",0
"1/3/19",0
"1/4/19",0
"1/5/19",0
"1/6/19",0
"1/7/19",0
"1/8/19",0
"1/9/19",0
"1/10/19",0
"1/11/19",0
"1/12/19",0
"1/13/19",0
"1/14/19",0
"1/15/19",0
"1/16/19",0
"1/17/19",0
"1/18/19",0
"1/19/19",0
"1/20/19",0
"1/21/19",0
"1/22/19",0
"1/23/19",0
"1/24/19",0
"1/25/19",0
"1/26/19",0
"1/27/19",0
"1/28/19",0
"1/29/19",0
"1/30/19",0
"1/31/19",0
"2/1/19",0
"2/2/19",0
"2/3/19",0
"2/4/19",0
"2/5/19",0
"2/6/19",0
"2/7/19",0
"2/8/19",0
"2/9/19",0
"2/10/19",0
"2/11/19",0
"2/12/19",0
"2/13/19",0
"2/14/19",0
"2/15/19",0
"2/16/19",0
"2/17/19",0
"2/18/19",0
"2/19/19",0
"2/20/19",0
"2/21/19",0
"2/22/19",0
"2/23/19",0
"2/24/19",0
"2/25/19",0
"2/26/19",0
"2/27/19",0
"2/28/19",0
"3/1/19",0
"3/2/19",0
"3/3/19",0
"3/4/19",0
"3/5/19",0
"3/6/19",0
"3/7/19",0
"3/8/19",0
"3/9/19",0
"3/10/19",0
"3/11/19",0
"3/12/19",0
"3/13/19",0
"3/14/19",0
"3/15/19",0
"3/16/19",0
"3/17/19",0
"3/18/19",0
"3/19/19",0
"3/20/19",0
"3/21/19",0
"3/22/19",0
"3/23/19",0
"3/24/19",0
"3/25/19",0
"3/26/19",0
"3/27/19",0
"3/28/19",0
"3/29/19",0
"3/30/19",0
"3/31/19",0
